[n]	[m]	[probability]
897	1064	0.378120
898	465	0.540909
899	993	0.892850
900	1384	0.493605
901	918	0.792497
902	1457	0.401526
903	1466	0.396261
904	1197	0.303976
905	924	0.641444
906	1466	0.412128
907	1048	0.594433
908	1125	0.302231
909	1038	0.653568
910	1404	0.262434
911	1175	0.432755
912	550	0.585583
913	961	0.654621
914	1454	0.285064
915	482	0.665302
916	1454	0.375099
917	1455	0.964000
918	1477	0.260746
919	1504	0.655378
920	1305	0.440928
921	1054	0.484320
922	527	0.683380
923	1174	0.271521
924	1054	0.806638
925	1575	0.996598
926	1175	0.397945
927	921	0.713526
928	1672	0.614317
929	486	0.331292
930	1504	0.818236
931	482	0.481488
932	798	0.472587
933	558	0.432857
934	1437	0.421902
935	1478	0.218451
936	1090	0.411544
937	1562	0.984243
938	1019	0.658643
939	1038	0.679756
940	861	0.548844
941	1013	0.700599
942	1140	0.739944
943	1451	0.544367
944	1427	0.485329
945	1563	0.487773
946	1140	0.832134
947	676	0.478223
948	1191	0.586695
949	626	0.478209
950	1111	0.332929
951	965	0.459702
952	815	0.349573
953	478	0.564626
954	1295	0.299230
955	1068	0.892533
956	1107	0.408237
957	1230	0.412068
958	1194	0.772811
959	486	0.317290
960	735	0.676100
961	1487	0.279386
962	1242	0.421424
963	1455	0.749974
964	550	0.724525
965	1006	0.544517
966	1070	0.724286
967	1503	0.336821
968	1310	0.538443
969	1427	0.356223
970	482	0.587891
971	1170	0.353483
972	1562	0.617375
973	869	0.475119
974	1515	0.837592
975	1383	0.306226
976	1059	0.528069
977	1310	0.517177
978	1563	0.930942
979	1191	0.783504
980	1515	0.751960
981	735	0.689583
982	1075	0.776753
983	1589	0.635291
984	436	0.265171
985	1602	0.361172
986	897	0.438039
987	1230	0.313331
988	1565	0.679351
989	897	0.333402
990	861	0.727648
991	436	0.245711
992	1140	0.766436
993	1081	0.706752
994	684	0.344684
995	501	0.415272
996	436	0.311990
997	1383	0.611835
998	548	0.380989
999	943	0.304040
1000	1325	0.510157
1001	1059	0.945231
1002	1220	0.720589
1003	816	0.583928
1004	1749	0.639029
1005	1564	0.383889
1006	548	0.433485
1007	430	0.261640
1008	1119	0.486816
1009	857	0.424812
1010	1335	0.996154
1011	1618	0.438850
1012	1782	0.913009
1013	1223	0.567718
1014	1223	0.567718
1015	897	0.329126
1016	436	0.319430
1017	1335	0.996585
1018	735	0.364203
1019	831	0.427993
1020	897	0.251520
1021	1216	0.486564
1022	1216	0.486564
1023	1325	0.566475
1024	1383	0.437642
1025	1424	0.551396
1026	1195	0.366571
1027	1195	0.366571
1028	1469	0.727144
1029	1013	0.674791
1030	1424	0.543369
1031	715	0.680947
1032	1515	0.486704
1033	562	0.505930
1034	1761	0.356226
1035	1827	0.443370
1036	1565	0.812827
1037	1615	0.526168
1038	501	0.521370
1039	1548	0.965673
1040	1651	0.806606
1041	1295	0.310696
1042	1295	0.310696
1043	1195	0.317166
1044	1383	0.479625
1045	1578	0.524138
1046	1019	0.534364
1047	715	0.635554
1048	715	0.539688
1049	1414	0.648261
1050	1600	0.501950
1051	1335	0.840471
1052	1627	0.547185
1053	1535	0.522803
1054	1651	0.922207
1055	1772	0.462388
1056	1223	0.652322
