[n]	[m]	[probability]
962	532	0.374559
963	1108	0.390069
964	1584	0.332853
965	1100	0.607827
966	1028	0.500625
967	1576	0.473114
968	1112	0.528127
969	885	0.252459
970	1622	0.300997
971	901	0.774972
972	901	0.597176
973	1656	0.358504
974	1656	0.556359
975	1069	0.552458
976	1636	0.409486
977	765	0.474193
978	1021	0.673886
979	1564	0.262481
980	1583	0.276736
981	1522	0.777540
982	971	0.700291
983	1673	0.684295
984	657	0.364698
985	1636	0.387413
986	1534	0.324553
987	693	0.414920
988	2029	0.485030
989	509	0.494671
990	497	0.589680
991	1068	0.364912
992	960	0.514874
993	1072	0.660212
994	1235	0.589614
995	1355	0.776493
996	978	0.662604
997	1753	0.458303
998	1679	0.965486
999	1079	0.588089
1000	765	0.413132
1001	1112	0.478664
1002	1108	0.422948
1003	991	0.716532
1004	1914	0.847065
1005	984	0.738487
1006	971	0.627552
1007	1679	0.959352
1008	1711	0.558089
1009	794	0.348106
1010	1686	0.266638
1011	1663	0.333193
1012	1350	0.665488
1013	978	0.398934
1014	765	0.224735
1015	1745	0.482311
1016	2108	0.249075
1017	1350	0.375437
1018	1203	0.547665
1019	709	0.478326
1020	1679	0.823651
1021	1108	0.394191
1022	1673	0.847749
1023	1052	0.684893
1024	991	0.567433
1025	1022	0.318341
1026	1679	0.871933
1027	532	0.726772
1028	709	0.431009
1029	1730	0.669755
1030	709	0.465848
1031	1630	0.377617
1032	2110	0.945285
1033	1391	0.640737
1034	2164	0.669270
1035	1045	0.636700
1036	1060	0.528298
1037	991	0.330927
1038	1977	0.517268
1039	1082	0.617186
1040	984	0.317663
1041	1838	0.438395
1042	880	0.290531
1043	1977	0.572378
1044	1355	0.428920
1045	709	0.543250
1046	830	0.687091
1047	1757	0.422152
1048	1436	0.466941
1049	1060	0.504091
1050	967	0.434119
1051	1842	0.299160
1052	1117	0.270471
1053	1117	0.270471
1054	872	0.397358
1055	848	0.294896
1056	830	0.618760
1057	967	0.441640
1058	1149	0.472877
1059	1914	0.871694
1060	1072	0.640324
1061	1644	0.294607
1062	1679	0.533478
1063	614	0.432205
1064	1673	0.878127
1065	1622	0.273640
1066	1504	0.408548
1067	888	0.322548
1068	2091	0.302799
1069	1838	0.336383
1070	967	0.525469
1071	1122	0.325429
1072	1122	0.325429
1073	768	0.435110
1074	1741	0.316240
1075	1009	0.657406
1076	1068	0.872761
1077	1100	0.477675
1078	1072	0.585363
1079	629	0.902095
1080	2070	0.327683
1081	1632	0.364052
1082	1786	0.341684
1083	509	0.862956
1084	1711	0.920395
1085	1703	0.699107
1086	1052	0.585062
1087	1202	0.427235
1088	2049	0.257602
1089	1733	0.256175
1090	799	0.359076
1091	1914	0.723391
1092	1065	0.478391
1093	1851	0.320438
1094	1541	0.536904
1095	1632	0.760217
1096	1203	0.463106
1097	1684	0.462462
1098	1060	0.441886
1099	830	0.483603
1100	1046	0.506909
1101	1561	0.699810
1102	2164	0.724362
1103	1315	0.371911
1104	1202	0.471127
1105	1355	0.534904
1106	1711	0.493371
1107	1786	0.362225
1108	1832	0.241611
1109	698	0.599508
1110	881	0.260322
1111	503	0.370556
1112	1436	0.889952
1113	1000	0.830799
1114	942	0.301570
1115	599	0.495141
1116	1684	0.448314
1117	698	0.424726
1118	1662	0.510801
1119	1181	0.620930
1120	1082	0.749200
1121	1851	0.299350
1122	1711	0.921537
1123	1914	0.717215
1124	1972	0.386480
1125	1798	0.777178
1126	509	0.432039
1127	2290	0.475381
1128	552	0.423949
1129	991	0.435235
1130	1892	0.300322
1131	1009	0.563815
1132	991	0.500087
1133	1146	0.215907
1134	1020	0.461832
1135	1686	0.625024
1136	1983	0.334331
1137	942	0.420548
1138	2009	0.203509
1139	2220	0.486894
1140	1352	0.444431
1141	1846	0.346782
1142	1064	0.216655
1143	1240	0.748043
1144	2220	0.591953
1145	1318	0.934960
1146	1274	0.441895
1147	2049	0.315269
1148	1181	0.666076
1149	1303	0.364053
1150	1164	0.273886
1151	893	0.233205
1152	1504	0.545168
1153	1318	0.501935
1154	1725	0.516757
1155	1035	0.570777
1156	1065	0.409191
1157	1561	0.863709
1158	1742	0.560102
1159	1703	0.501284
1160	1436	0.945067
1161	636	0.395573
1162	995	0.370369
1163	1436	0.908256
1164	1352	0.398715
1165	2327	0.280877
1166	1855	0.434248
1167	2398	0.345529
1168	1763	0.523017
1169	1465	0.614715
1170	1391	0.700551
1171	1274	0.679191
1172	710	0.363121
1173	846	0.419229
1174	977	0.266368
1175	1180	0.524155
1176	1931	0.233500
1177	2149	0.275535
1178	1087	0.586754
1179	1774	0.503324
1180	1742	0.528281
1181	2160	0.401792
