[n]	[m]	[probability]
958	1092	0.286055
959	902	0.169123
960	1158	0.295357
961	1246	0.222533
962	1076	0.245098
963	1265	0.599509
964	1089	0.244378
965	1053	0.244583
966	1014	0.237350
967	1309	0.368702
968	900	0.509114
969	1152	0.331609
970	873	0.165818
971	1082	0.402611
972	1153	0.592760
973	1213	0.289324
974	1300	0.961961
975	1120	0.253462
976	752	0.543231
977	900	0.468870
978	1183	0.729521
979	692	0.716477
980	1300	0.940430
981	1212	0.317377
982	1100	0.501764
983	1324	0.630339
984	891	0.083902
985	1166	0.463521
986	1208	0.284727
987	1119	0.635505
988	1320	0.287241
989	1189	0.370079
990	1253	0.177449
991	678	0.085657
992	1017	0.978610
993	1192	0.389491
994	1304	0.484072
995	1046	0.104340
996	702	0.088632
997	1120	0.252525
998	1103	0.152299
999	1248	0.467725
1000	927	0.459348
1001	752	0.381380
1002	908	0.410514
1003	1292	0.587223
1004	1109	0.672854
1005	1273	0.586916
1006	1201	0.159449
1007	920	0.103677
1008	1119	0.551147
1009	1290	0.306927
1010	864	0.671291
1011	1250	0.292250
1012	1153	0.459072
1013	802	0.293671
1014	802	0.293671
1015	1189	0.327302
1016	702	0.091220
1017	864	0.681333
1018	1212	0.328052
1019	1290	0.396698
1020	1189	0.306501
1021	1017	0.648715
1022	1017	0.648715
1023	927	0.437655
1024	1125	0.241128
1025	952	0.631852
1026	1230	0.212391
1027	1230	0.212391
1028	1257	0.422992
1029	1235	0.261860
1030	952	0.653560
1031	1217	0.302174
1032	1300	0.961437
1033	1259	0.267666
1034	1166	0.714435
1035	1183	1.000000
1036	1320	0.418408
1037	1504	0.577869
1038	1347	0.131991
1039	1077	0.477419
1040	1156	0.824251
1041	1051	0.333493
1042	1051	0.333493
1043	1070	0.363090
1044	1160	0.251964
1045	1257	0.314449
1046	1235	0.332714
1047	1217	0.292160
1048	1219	0.306657
1049	989	0.535579
1050	1300	0.919675
1051	989	0.353465
1052	1344	0.326603
1053	1207	0.229972
1054	1156	0.876975
1055	1186	1.000000
1056	802	0.335751
1057	1219	0.310904
1058	1017	0.765106
1059	1180	0.122299
1060	1275	0.209262
1061	989	0.590896
1062	908	0.327752
1063	1280	0.219564
1064	802	0.385169
1065	1109	0.374049
1066	1328	0.357843
1067	1337	0.320382
1068	849	0.184092
1069	1315	0.412553
1070	1280	0.257183
1071	1195	0.189485
1072	1102	0.637259
1073	1387	0.297699
1074	1280	0.270243
1075	1100	0.261627
1076	1298	0.443821
1077	1260	0.332505
1078	1075	0.313495
1079	1234	0.263005
1080	1253	0.306269
1081	1144	0.253741
1082	1453	0.368244
1083	1230	0.197881
1084	1313	0.267287
1085	1300	0.386477
1086	1242	0.317194
1087	1256	0.230063
1088	1324	0.665323
1089	1321	0.275609
1090	944	0.436775
1091	1048	0.561646
1092	1399	0.225837
1093	1253	0.281977
1094	1458	0.436232
1095	1369	0.287749
1096	1469	0.666525
1097	1313	0.315656
1098	1407	0.289890
1099	1064	0.519154
1100	1257	0.270169
1101	1357	0.372134
1102	1102	0.916405
1103	1038	0.478073
1104	1313	0.403745
1105	1252	0.441897
1106	1184	0.213884
1107	1344	0.287437
1108	1170	0.303885
1109	1256	0.267131
1110	1588	0.160851
1111	1258	0.209715
1112	681	0.131069
1113	965	0.356264
1114	1361	0.976654
1115	1174	0.427830
1116	1252	0.169509
1117	1308	0.375302
1118	1096	0.243351
1119	1403	0.258599
1120	1331	0.189489
1121	989	0.392716
1122	1132	1.000000
1123	1390	0.366349
1124	1341	0.306297
1125	941	0.552307
1126	1291	0.249768
1127	1187	0.319245
1128	1064	0.507587
1129	1311	0.415324
1130	1272	1.000000
1131	1455	0.410926
1132	1331	0.242142
1133	1068	0.422846
1134	1102	0.510066
1135	1227	0.323999
1136	1444	0.614806
1137	1570	0.387583
1138	1220	0.533985
1139	1458	0.396965
1140	1260	0.375242
1141	941	0.485976
1142	1007	0.304372
1143	1244	0.265651
1144	1038	0.422508
1145	1410	0.281451
1146	1413	0.229604
1147	1186	1.000000
1148	1109	1.000000
1149	1407	0.270499
1150	1260	0.277506
1151	1173	0.349229
1152	1355	0.300422
1153	1361	0.965926
1154	1511	0.255232
1155	1109	1.000000
1156	1376	0.237914
1157	1419	0.299897
1158	1311	0.461653
1159	1361	0.994723
1160	799	0.484765
1161	1166	0.521944
1162	1458	0.308844
1163	1135	0.146969
1164	1516	0.327477
1165	1394	0.462114
1166	1455	0.550632
1167	1054	0.872477
1168	1717	0.247777
1169	1064	0.413079
1170	1252	0.720635
1171	941	0.470922
1172	1107	0.361117
1173	1366	0.327347
1174	1530	0.381834
1175	1357	0.711795
1176	1381	0.418651
1177	1394	0.334721
1178	1007	0.410668
1179	1380	0.410943
1180	1140	0.472329
1181	1361	0.993265
1182	1335	0.441809
1183	1361	0.989962
1184	1323	0.235144
1185	1274	0.619090
1186	1054	0.836749
1187	1102	0.661428
1188	1323	0.321886
1189	1223	0.463475
1190	1214	0.238436
1191	1381	0.350613
1192	1578	0.283687
1193	1342	0.238210
1194	1403	0.224891
1195	1520	0.249115
1196	1578	0.286380
1197	1451	0.340351
1198	1443	0.411391
1199	1102	0.453565
