[n]	[m]	[probability]
1260	6331	0.318187
1261	33842	0.331193
1262	33851	0.622776
1263	6520	0.358856
1264	33836	0.444980
1265	33827	0.566365
1266	6485	0.384561
1267	33852	0.595773
1268	33892	0.430959
1269	33853	0.578186
1270	6654	0.525159
1271	6514	0.383612
1272	33439	0.410374
1273	33924	0.530576
1274	33927	0.429145
1275	34074	0.434699
1276	6555	0.185976
1277	33988	0.452277
1278	6410	0.308044
1279	33923	0.362763
1280	33894	0.278206
1281	33486	0.299683
1282	33849	0.553538
1283	33888	0.373513
1284	6497	0.534224
1285	6566	0.228468
1286	33992	0.333795
1287	33987	0.283278
1288	33935	0.317631
1289	34038	0.504676
1290	33881	0.435792
1291	6544	0.249882
1292	6519	0.404120
1293	33978	0.293222
1294	33967	0.421348
1295	33976	0.296633
1296	33985	0.416413
1297	33599	0.354473
1298	6418	0.221858
1299	33693	0.474070
1300	6418	0.196937
1301	33995	0.309320
1302	34035	0.327455
1303	6516	0.317378
1304	34166	0.252426
1305	34131	0.165578
1306	33925	0.170200
1307	34166	0.381926
1308	34044	0.413073
1309	34137	0.520569
1310	33976	0.243900
1311	34030	0.434072
1312	6554	0.347122
1313	33919	0.280355
1314	33951	0.228968
1315	6583	0.364464
1316	34137	0.428707
1317	33941	0.562776
1318	34205	0.586170
1319	34056	0.369498
1320	6674	0.274872
1321	33603	0.412270
1322	34036	0.426608
1323	6434	0.357700
1324	34219	0.665975
1325	34039	0.252692
1326	34201	0.115221
1327	34251	0.164189
1328	33903	0.336591
1329	34166	0.414577
1330	34405	0.567673
1331	34370	0.606015
1332	33906	0.259627
1333	33873	0.308089
1334	33872	0.280521
1335	33909	0.368835
1336	33874	0.514022
1337	33909	0.371897
1338	6510	0.375538
1339	6529	0.359066
1340	6523	0.360914
1341	33968	0.452553
1342	33932	0.363073
1343	6577	0.407353
1344	33971	0.230937
1345	6601	0.355963
1346	34087	0.286373
1347	34088	0.405594
1348	6603	0.359720
1349	33759	0.195837
1350	33759	0.209487
1351	33781	0.177606
1352	34232	0.218873
1353	6703	0.284770
1354	6595	0.361132
1355	6648	0.267565
1356	34115	0.192086
1357	34040	0.473325
1358	6706	0.329727
